Ticket created - Date,Ticket ID,Tickets
2019-07-08,125988,1
2019-07-08,125991,1
2019-07-08,126007,1
2019-07-09,126137,1
2019-07-10,126214,1
2019-07-11,126339,1
2019-07-12,126379,1
2019-07-12,126422,1
2019-07-13,126437,1
2019-07-15,126515,1
2019-07-16,126679,1
2019-07-17,126714,1
2019-07-17,126715,1
2019-07-17,126776,1
2019-07-17,126798,1
2019-07-17,126828,1
2019-07-19,126984,1
2019-07-24,127431,1
2019-07-24,127457,1
2019-07-25,127583,1
2019-07-26,127715,1
2019-07-27,127766,1
2019-07-30,128047,1
2019-07-31,128103,1
2019-08-01,128204,1
2019-08-02,128408,1
2019-08-02,128425,1
2019-08-05,128494,1
2019-08-06,128659,1
2019-08-06,128684,1
2019-08-07,128709,1
2019-08-07,128812,1
2019-08-07,128815,1
2019-08-09,129012,1
2019-08-09,129032,1
2019-08-10,129061,1
2019-08-11,129095,1
2019-08-12,129114,1
2019-08-13,129324,1
2019-08-15,129517,1
2019-08-20,129934,1
2019-08-21,129935,1
2019-08-21,129942,1
2019-08-22,130058,1
2019-08-22,130109,1
2019-08-22,130146,1
2019-08-26,130393,1
2019-08-26,130402,1
2019-09-06,131469,1
2019-09-06,131472,1
2019-09-06,131475,1
2019-09-10,131736,1
2019-09-10,131773,1
2019-09-11,131814,1
2019-09-11,131895,1
2019-09-13,132114,1
2019-09-15,132137,1
2019-09-15,132147,1
2019-09-19,132692,1
2019-09-23,133013,1
2019-09-23,133055,1
2019-09-23,133083,1
2019-09-24,133148,1
2019-09-24,133187,1
2019-09-24,133192,1
2019-09-24,133259,1
2019-09-25,133373,1
2019-09-26,133497,1
2019-09-26,133505,1
2019-09-29,133655,1
2019-09-30,133687,1
2019-10-01,133862,1
2019-10-01,133930,1
2019-10-01,133931,1
2019-10-01,133934,1
2019-10-01,133945,1
2019-10-03,134143,1
2019-10-04,134312,1
2019-10-07,134467,1
2019-10-10,134809,1
2019-10-10,134835,1
2019-10-10,134867,1
